free_area,kw,pv_investment,
1,0.19,3324,
2,0.39,3502,
3,0.58,3678,
4,0.78,3854,
5,0.97,4031,
6,1.17,4208,
7,1.36,4386,
8,1.56,4562,
9,1.75,4740,
10,1.95,4916,
11,2.14,5092.8,
12,2.34,5269.2,
13,2.53,5448,
14,2.73,5624.4,
15,2.92,5799.6,
16,3.12,5976,
17,3.31,6153.6,
18,3.51,6330,
19,3.70,6507.6,
20,3.89,6684,
21,4.09,6861.6,
22,4.28,7038,
23,4.48,7214.4,
24,4.67,7442.4,
25,4.87,7620,
26,5.06,7797.6,
27,5.26,7974,
28,5.45,8150.4,
29,5.65,8328,
30,5.84,8503.2,
31,6.04,8750.4,
32,6.23,8926.8,
33,6.43,9103.2,
34,6.62,9280.8,
35,6.82,9457.2,
36,7.01,9633.6,
37,7.21,9812.4,
38,7.40,10140,
39,7.59,10316.4,
40,7.79,10492.8,
41,7.98,10670.4,
42,8.18,10846.8,
43,8.37,11024.4,
44,8.57,11200.8,
45,8.76,11377.2,
46,8.96,11553.6,
47,9.15,11730,
48,9.35,12116.4,
49,9.54,12294,
50,9.74,12471.6,
51,9.93,12648,
52,10.13,12824.4,
53,10.32,13000.8,
54,10.52,13178.4,
55,10.71,13356,
56,10.91,13532.4,
57,11.10,13708.8,
58,11.29,13886.4,
59,11.49,14062.8,
60,11.68,14238,
61,11.88,14415.6,
62,12.07,14860.8,
63,12.27,15037.2,
64,12.46,15214.8,
65,12.66,15391.2,
66,12.85,15567.6,
67,13.05,15745.2,
68,13.24,15922.8,
69,13.44,16099.2,
70,13.63,16275.6,
71,13.83,16453.2,
72,14.02,16629.6,
73,14.22,16807.2,
74,14.41,16983.6,
75,14.61,17091.6,
76,14.80,17268,
77,14.99,17444.4,
78,15.19,17622,
79,15.38,17799.6,
80,15.58,17976,
81,15.77,18152.4,
82,15.97,18330,
83,16.16,18506.4,
84,16.36,18682.8,
85,16.55,18860.4,
86,16.75,19038,
87,16.94,19214.4,
88,17.14,19390.8,
89,17.33,19567.2,
90,17.53,19743.6,
91,17.72,19921.2,
92,17.92,20338.8,
93,18.11,20516.4,
94,18.31,20692.8,
95,18.50,20869.2,
96,18.69,21045.6,
97,18.89,21224.4,
98,19.08,21400.8,
99,19.28,21577.2,
100,19.47,21753.6,
101,19.67,21931.2,
102,19.86,22107.6,
103,20.06,22285.2,
104,20.25,22461.6,
105,20.45,22638,
106,20.64,22814.4,
107,20.84,22990.8,
108,21.03,23168.4,
109,21.23,23390.4,
110,21.42,23569.2,
111,21.62,23745.6,
112,21.81,23922,
113,22.01,24098.4,
114,22.20,23346,
115,22.39,23514,
116,22.59,23682,
117,22.78,23851.2,
118,22.98,24019.2,
119,23.17,24188.4,
120,23.37,24355.2,
121,23.56,24525.6,
122,23.76,24693.6,
123,23.95,24862.8,
124,24.15,25030.8,
125,24.34,25200,
126,24.54,25489.2,
127,24.73,25658.4,
128,24.93,25826.4,
129,25.12,25995.6,
130,25.32,26164.8,
131,25.51,26332.8,
132,25.71,26502,
133,25.90,26670,
134,26.09,26839.2,
135,26.29,27006,
136,26.48,27176.4,
137,26.68,27344.4,
138,26.87,27513.6,
139,27.07,27681.6,
140,27.26,27850.8,
141,27.46,28018.8,
142,27.65,28189.2,
143,27.85,28357.2,
144,28.04,28526.4,
145,28.24,28694.4,
146,28.43,28862.4,
147,28.63,29031.6,
148,28.82,29199.6,
149,29.02,29370,
150,29.21,29536.8,
151,29.41,29706,
152,29.60,29874,
153,29.79,30043.2,
154,29.99,30211.2,
155,30.18,30381.6,
156,30.38,30549.6,
157,30.57,30718.8,
158,30.77,30886.8,
159,30.96,31056,
160,31.16,31224,
161,31.35,31978.8,
162,31.55,32148,
163,31.74,32316,
164,31.94,32485.2,
165,32.13,32653.2,
166,32.33,32822.4,
167,32.52,32990.4,
168,32.72,33159.6,
169,32.91,33327.6,
170,33.11,33496.8,
171,33.30,33664.8,
172,33.49,33835.2,
173,33.69,34003.2,
174,33.88,34171.2,
175,34.08,34340.4,
176,34.27,34508.4,
177,34.47,34677.6,
178,34.66,34846.8,
179,34.86,35016,
180,35.05,35182.8,
181,35.25,35352,
182,35.44,35520,
183,35.64,35689.2,
184,35.83,35858.4,
185,36.03,36027.6,
186,36.22,36195.6,
187,36.42,36364.8,
188,36.61,36532.8,
189,36.81,36700.8,
190,37.00,36871.2,
191,37.19,37039.2,
192,37.39,37208.4,
193,37.58,37376.4,
194,37.78,37545.6,
195,37.97,37712.4,
196,38.17,37881.6,
197,38.36,38050.8,
198,38.56,38220,
199,38.75,38388,
200,38.95,38557.2,
201,39.14,38725.2,
202,39.34,38894.4,
203,39.53,39063.6,
204,39.73,39231.6,
205,39.92,39400.8,
206,40.12,39568.8,
207,40.31,39738,
208,40.51,39906,
209,40.70,40076.4,
210,40.89,40243.2,
211,41.09,40412.4,
212,41.28,40580.4,
213,41.48,40749.6,
214,41.67,40917.6,
215,41.87,41088,
216,42.06,41562,
217,42.26,41731.2,
218,42.45,41899.2,
219,42.65,42067.2,
220,42.84,42236.4,
221,43.04,42404.4,
222,43.23,42573.6,
223,43.43,42742.8,
224,43.62,42912,
225,43.82,43078.8,
226,44.01,43248,
227,44.21,43416,
228,44.40,42985.2,
229,44.59,43150.8,
230,44.79,43316.4,
231,44.98,43483.2,
232,45.18,43648.8,
233,45.37,43814.4,
234,45.57,43981.2,
235,45.76,44146.8,
236,45.96,44313.6,
237,46.15,44480.4,
238,46.35,44646,
239,46.54,44811.6,
240,46.74,44976,
241,46.93,45142.8,
242,47.13,45308.4,
243,47.32,45474,
244,47.52,45642,
245,47.71,45807.6,
246,47.91,45973.2,
247,48.10,46140,
248,48.29,46305.6,
249,48.49,46471.2,
250,48.68,46636.8,
251,48.88,46803.6,
252,49.07,46970.4,
253,49.27,47136,
254,49.46,47302.8,
255,49.66,47467.2,
256,49.85,47632.8,
257,50.05,47799.6,
258,50.24,47965.2,5.135135135
259,50.44,48130.8,
260,50.63,48298.8,
261,50.83,48464.4,
262,51.02,48630,
263,51.22,48795.6,
264,51.41,48962.4,
265,51.61,49128,
266,51.80,49293.6,
267,51.99,49460.4,
268,52.19,49627.2,
269,52.38,49792.8,
270,52.58,49958.4,5.135135135
271,52.77,50124,
272,52.97,50289.6,
273,53.16,50455.2,
274,53.36,50622,
275,53.55,50787.6,
276,53.75,50954.4,
277,53.94,51121.2,
278,54.14,51286.8,
279,54.33,51452.4,
280,54.53,51619.2,
281,54.72,51784.8,
282,54.92,51950.4,
283,55.11,52116,
284,55.31,52284,
285,55.50,52448.4,
286,55.69,52614,
287,55.89,52780.8,
288,56.08,52946.4,
289,56.28,53112,
290,56.47,53278.8,
291,56.67,53444.4,
292,56.86,53611.2,
293,57.06,53778,
294,57.25,54745.2,
295,57.45,54910.8,
296,57.64,55076.4,
297,57.84,55243.2,
298,58.03,55408.8,
299,58.23,55574.4,
300,58.42,55741.2,5.135135135
